D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2534,EBC64038617,1,1,0.5,0.35,0.175,230,0,0,0,0,-63.05,86.9,90,107.363459798946,8,2,1,1,4,10000,4,8,6,5,5,230,525,50019,2,602,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2534,EBC64038617,1,1,0.5,0.35,0.175,230,0,0,0,0,-62.05,86.9,90,106.779269991886,8,2,1,1,4,10000,1,6,8,8,5,230,528,50019,2,603,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2534,EBC64038617,1,1,0.5,0.35,0.175,230,0,0,0,0,-61.05,86.9,90,106.201282948936,8,2,1,1,4,10000,4,7,8,6,5,230,526,50019,2,604,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2534,EBC64038617,1,1,0.5,0.35,0.175,230,0,0,0,0,-60.05,86.9,90,105.629600491529,8,2,1,1,4,10000,1,3,13,15,5,230,517,50019,2,605,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2531,EBC64038614,1,1,0.5,0.35,0.175,230,226,0,0,0,-85.9,91.05,180,125.175526761424,8,2,1,1,4,10000,8,4,11,10,4,230,412,40009,2,606,24.648
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2534,EBC64038617,1,1,0.5,0.35,0.175,230,0,0,0,0,-59.05,86.9,90,105.064325534408,8,2,1,1,4,10000,4,6,9,7,5,230,527,50019,2,607,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2238,EBC62528494,1,1,0.5,0.35,0.175,230,0,0,0,0,-92.85,91.9,180,130.639704913935,8,2,1,1,4,10000,3,1,9,3,2,230,223,20009,1,608,23.546
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2238,EBC62528494,1,1,0.5,0.35,0.175,230,0,0,0,0,-66.4,91.95,180,113.418528027831,8,2,1,1,4,10000,2,1,9,3,2,230,223,20009,1,609,23.546
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2238,EBC62528494,1,1,0.5,0.35,0.175,230,0,0,0,0,-94.7,91.55,90,131.717472265452,8,2,1,1,4,10000,4,2,5,11,2,230,213,20009,1,610,23.546
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2534,EBC64038617,1,1,0.5,0.35,0.175,230,0,0,0,0,-120.5,93,180,152.214486826977,8,2,1,1,4,10000,2,6,3,13,5,230,515,50019,2,611,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2537,EBC64038620,1,1,0.5,0.35,0.175,230,0,0,0,0,-98.5,121.8,-90,156.644470058793,8,2,1,1,4,10000,2,2,6,14,2,230,216,20010,2,612,23.546
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2529,EBC64038612,1,1,0.5,0.35,0.175,230,0,0,0,0,-93.2,133.55,-90,162.855280847751,8,2,1,1,4,10000,3,2,6,16,2,230,218,20011,2,613,23.546
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2529,EBC64038612,1,1,0.5,0.35,0.175,230,0,0,0,0,-92.2,133.55,-90,162.285065548251,8,2,1,1,4,10000,2,1,2,8,2,230,228,20011,2,614,23.546
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2526,EBC64038609,1,1,0.5,0.35,0.175,230,0,0,0,0,-91.2,133.55,90,161.719023308948,8,2,1,1,4,10000,7,5,9,11,3,230,313,30018,2,615,23.047
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2521,EBC64038603,1,1,0.5,0.35,0.175,230,0,0,0,0,-89.3,125.55,90,154.069115983704,8,2,1,1,4,10000,7,4,10,10,3,230,312,30017,2,616,23.047
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,2521,EBC64038603,1,1,0.5,0.35,0.175,230,0,0,0,0,-94.2,133.55,-90,163.42962552732,8,2,1,1,4,10000,8,3,12,1,3,230,321,30017,2,617,23.047
